n,Yaw,Pitch,Roll,Lift,Drag,Side
0,-0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0,0.0,-0.01573,0.0,0.0,0.0
4,-0.0,0.0,0.0,0.0,0.0,0.0
5,-0.0,0.0,-0.01573,0.0,0.0,0.0
6,-0.0,0.0,0.0,0.0,0.0,0.0
7,-0.0,0.0,0.0,0.0,0.0,0.0
8,-0.0,0.0,-0.01573,0.0,0.0,0.0
9,-0.0,0.0,0.0,0.0,0.0,0.0
10,-0.0,0.0,0.0,0.0,0.0,0.0
11,-0.0,0.0,-0.01573,0.0,0.0,0.0
12,-0.0,0.0,0.0,0.0,0.0,0.0
13,-0.0,0.0,0.0,0.0,0.0,0.0
14,-0.0,0.0,0.0,0.0,0.0,0.0
15,-0.0,0.0,0.0,0.0,0.0,0.0
16,-0.0,0.0,0.0,0.0,0.0,0.0
17,-0.0,0.0,0.0,0.0,0.0,0.0
18,-0.0,0.0,0.0,0.0,0.0,0.0
19,-0.0,0.0,-0.01573,0.0,0.0,0.0
20,-0.0,0.0,0.0,0.0,-0.01744,0.0
21,-0.0,0.0,-0.01573,0.0,-0.01744,0.0
22,-0.0,0.0,-0.01573,0.0,0.0,0.0
23,-0.0,0.0,-0.01573,0.0,0.0,0.0
24,-0.0,0.0,0.0,0.0,-0.01744,0.0
25,-0.0,0.0,0.0,0.0,-0.01744,0.0
26,-0.0,0.0,0.0,0.0,0.0,0.0
27,-0.0,0.0,0.0,0.0,-0.01744,0.0
28,-0.0,0.0,-0.01573,0.0,-0.01744,0.0
29,-0.0,0.0,-0.01573,0.0,-0.01744,0.0
30,-0.0,0.0,0.0,0.0,0.0,0.0
31,-0.0,0.0,-0.01573,0.0,-0.01744,0.0
32,-0.0,0.0,0.0,0.0,-0.01744,0.0
33,-0.0,0.0,0.0,0.0,-0.01744,0.0
34,-0.0,0.0,0.0,0.0,-0.01744,0.0
35,-0.0,0.0,0.0,0.0,0.0,0.0
36,-0.0,0.0,0.0,0.0,-0.01744,0.0
37,-0.0,0.0,-0.01573,0.0,-0.01744,0.0
38,-0.0,0.0,0.0,0.0,0.0,0.0
39,-0.0,0.0,-0.01573,0.0,-0.01744,0.0
40,-0.0,0.0,0.0,0.0,0.0,0.0
41,-0.0,0.0,0.0,0.0,-0.01744,0.0
42,-0.0,0.0,0.0,0.0,0.0,0.0
43,-0.0,0.0,0.0,0.0,0.0,0.0
44,-0.0,0.0,0.0,0.0,-0.01744,0.0
45,-0.0,0.0,0.0,0.0,-0.01744,0.0
46,-0.0,0.0,0.0,0.0,0.0,0.0
47,-0.0,0.0,-0.01573,0.0,0.0,0.0
48,-0.0,0.0,-0.01573,0.0,0.0,0.0
49,-0.0,0.0,0.0,0.0,0.0,0.0
50,-0.0,0.0,0.0,0.0,0.0,0.0
51,-0.0,0.8726,0.0,0.0,0.0,-0.602
52,-0.0,0.0,0.0,0.0,0.0,0.0
53,-0.0,0.0,-0.01573,0.0,0.0,0.0
54,-0.0,0.0,-0.01573,0.0,0.0,0.0
55,-0.0,0.0,0.0,0.0,0.0,0.0
56,-0.0,0.0,-0.01573,0.0,0.0,0.0
57,-0.0,0.0,0.0,0.0,0.0,0.0
58,-0.0,0.0,0.0,0.0,0.0,0.0
59,-0.0,0.0,-0.01573,0.0,0.0,0.0
60,-0.0,0.0,-0.01573,0.0,-0.01744,0.0
61,6.84932,0.0,-0.01573,0.0,-0.01744,0.0
62,13.69864,-13.9616,-0.14157,-1.19427,1.6255199999999999,9.632
63,34.2466,-95.986,0.3146,21.09877,-28.71752,66.25418
64,47.94524,-22.6876,3.91677,23.48731,-31.986,15.652
65,47.94524,-13.089,9.485190000000001,44.98417,-61.22792,9.047089999999999
66,47.94524,16.5794,11.81323,67.6753,-92.1128,-11.437999999999999
67,47.94524,27.050600000000003,14.518790000000001,69.66575,-94.822,-18.64491
68,78.76718,22.6876,15.509780000000001,77.22946,-105.11695999999999,-15.63491
69,99.31514,21.815,16.705260000000003,76.03519,-103.49144,-15.049999999999999
70,99.31514,2.6178,17.067050000000002,78.02564,-106.20063999999999,-1.78891
71,99.31514,-6.9808,17.22435,82.00654,-111.61904,4.833089999999999
72,102.73979999999999,14.834200000000001,16.6738,77.62755,-105.67623999999999,-10.21691
73,113.01378,-6.9808,16.72099,87.5798,-119.20479999999999,4.816
74,116.43844,-32.2862,15.85584,84.79317,-115.41192,22.29109
75,119.86309999999999,-61.954600000000006,14.4716,76.03519,-103.49144,42.75909
76,116.43844,45.3752,14.06262,64.49058,-87.77808,-31.28691
77,174.65766,217.2774,14.34576,50.55743,-68.81368,-149.88091
78,188.35629999999998,269.6334,15.022150000000002,63.6944,-86.71184,-186.018
79,174.65766,254.7992,15.305290000000001,86.78362,-118.12111999999999,-175.784
80,178.08231999999998,209.424,15.682810000000002,109.87284,-149.54784,-144.46291
